,portfolio,month,year,Source,Generation
710,2,3,2019,MW_gen,20.21
711,2,4,2019,MW_gen,25.23
712,2,5,2019,MW_gen,29.85
713,2,6,2019,MW_gen,34.55
714,2,7,2019,MW_gen,38.0
715,2,8,2019,MW_gen,34.73
716,2,9,2019,MW_gen,24.04
717,2,10,2019,MW_gen,17.37
718,2,11,2019,MW_gen,7.55
719,2,12,2019,MW_gen,6.48
720,2,1,2019,MW_gen,0.26
721,2,2,2019,MW_gen,5.05
722,2,3,2019,MW_gen,17.76
723,2,4,2019,MW_gen,20.12
724,2,5,2019,MW_gen,29.26
725,2,6,2019,MW_gen,36.58
726,2,7,2019,MW_gen,38.54
727,2,8,2019,MW_gen,34.91
728,2,9,2019,MW_gen,23.99
729,2,10,2019,MW_gen,18.8
730,2,11,2019,MW_gen,5.83
731,2,12,2019,MW_gen,4.92
1720,2,1,2019,weather_adj,1.04
1721,2,2,2019,weather_adj,13.65
1722,2,3,2019,weather_adj,50.94
1723,2,4,2019,weather_adj,65.39
1724,2,5,2019,weather_adj,73.01
1725,2,6,2019,weather_adj,85.43
1726,2,7,2019,weather_adj,97.53
1727,2,8,2019,weather_adj,90.58
1728,2,9,2019,weather_adj,63.86
1729,2,10,2019,weather_adj,49.15
1730,2,11,2019,weather_adj,21.47
1731,2,12,2019,weather_adj,20.95
1732,2,1,2019,weather_adj,0.59
1733,2,2,2019,weather_adj,8.19
1734,2,3,2019,weather_adj,50.28
1735,2,4,2019,weather_adj,65.47
1736,2,5,2019,weather_adj,43.55
1737,2,6,2019,weather_adj,88.09
1738,2,7,2019,weather_adj,98.84
1739,2,8,2019,weather_adj,91.15
1740,2,9,2019,weather_adj,61.62
1741,2,10,2019,weather_adj,44.19
1742,2,11,2019,weather_adj,18.56
1743,2,12,2019,weather_adj,19.04
1744,2,1,2019,weather_adj,0.36
1745,2,2,2019,weather_adj,4.53
1746,2,3,2019,weather_adj,32.26
1747,2,4,2019,weather_adj,42.05
1748,2,5,2019,weather_adj,27.96
1749,2,6,2019,weather_adj,56.69
1750,2,7,2019,weather_adj,63.53
1751,2,8,2019,weather_adj,58.51
1752,2,9,2019,weather_adj,39.52
1753,2,10,2019,weather_adj,28.19
1754,2,11,2019,weather_adj,11.71
1755,2,12,2019,weather_adj,12.33
1756,2,1,2019,weather_adj,0.83
1757,2,2,2019,weather_adj,9.95
1758,2,3,2019,weather_adj,57.36
1759,2,4,2019,weather_adj,47.67
1760,2,5,2019,weather_adj,71.27
1761,2,6,2019,weather_adj,88.47
1762,2,7,2019,weather_adj,97.12
1763,2,8,2019,weather_adj,90.67
1764,2,9,2019,weather_adj,64.29
1765,2,10,2019,weather_adj,46.31
1766,2,11,2019,weather_adj,20.31
1767,2,12,2019,weather_adj,22.45
1768,2,1,2019,weather_adj,0.76
1769,2,2,2019,weather_adj,10.7
1770,2,3,2019,weather_adj,60.57
1771,2,4,2019,weather_adj,58.86
1772,2,5,2019,weather_adj,70.35
1773,2,6,2019,weather_adj,42.77
1774,2,7,2019,weather_adj,94.63
1775,2,8,2019,weather_adj,100.73
1776,2,9,2019,weather_adj,71.29
1777,2,10,2019,weather_adj,55.76
1778,2,11,2019,weather_adj,24.26
1779,2,12,2019,weather_adj,15.94
1780,2,1,2019,weather_adj,0.18
