,portfolio,month,year,Source,Generation
1971,4,12,2019,weather_adj,2.79
2948,4,1,2019,pv_syst,2.8
2949,4,2,2019,pv_syst,6.64
2950,4,3,2019,pv_syst,14.54
2951,4,4,2019,pv_syst,19.52
2952,4,5,2019,pv_syst,21.96
2953,4,6,2019,pv_syst,23.57
2954,4,7,2019,pv_syst,24.54
2955,4,8,2019,pv_syst,21.05
2956,4,9,2019,pv_syst,15.73
2957,4,10,2019,pv_syst,11.65
2958,4,11,2019,pv_syst,6.35
2959,4,12,2019,pv_syst,3.73
2960,4,1,2019,pv_syst,8.74
2961,4,2,2019,pv_syst,20.51
2962,4,3,2019,pv_syst,44.96
2963,4,4,2019,pv_syst,60.63
2964,4,5,2019,pv_syst,68.56
2965,4,6,2019,pv_syst,73.88
2966,4,7,2019,pv_syst,77.08
2967,4,8,2019,pv_syst,66.07
2968,4,9,2019,pv_syst,49.21
2969,4,10,2019,pv_syst,36.26
2970,4,11,2019,pv_syst,19.71
2971,4,12,2019,pv_syst,11.61
2972,4,1,2019,pv_syst,2.25
2973,4,2,2019,pv_syst,4.04
2974,4,3,2019,pv_syst,9.0
2975,4,4,2019,pv_syst,13.58
2976,4,5,2019,pv_syst,15.72
2977,4,6,2019,pv_syst,16.24
2978,4,7,2019,pv_syst,16.83
2979,4,8,2019,pv_syst,14.77
2980,4,9,2019,pv_syst,11.22
2981,4,10,2019,pv_syst,8.23
2982,4,11,2019,pv_syst,4.33
2983,4,12,2019,pv_syst,3.19
2984,4,1,2019,pv_syst,11.3
2985,4,2,2019,pv_syst,15.38
2986,4,3,2019,pv_syst,25.34
2987,4,4,2019,pv_syst,32.01
2988,4,5,2019,pv_syst,36.41
2989,4,6,2019,pv_syst,39.48
2990,4,7,2019,pv_syst,40.54
2991,4,8,2019,pv_syst,35.05
2992,4,9,2019,pv_syst,26.2
2993,4,10,2019,pv_syst,19.21
2994,4,11,2019,pv_syst,10.29
2995,4,12,2019,pv_syst,8.27
2996,4,1,2019,pv_syst,17.67
2997,4,2,2019,pv_syst,23.81
2998,4,3,2019,pv_syst,39.44
2999,4,4,2019,pv_syst,47.35
3000,4,5,2019,pv_syst,55.26
3001,4,6,2019,pv_syst,59.32
3002,4,7,2019,pv_syst,60.58
3003,4,8,2019,pv_syst,52.92
3004,4,9,2019,pv_syst,40.16
3005,4,10,2019,pv_syst,30.19
3006,4,11,2019,pv_syst,15.92
3007,4,12,2019,pv_syst,13.0
3008,4,1,2019,pv_syst,13.37
3009,4,2,2019,pv_syst,18.47
3010,4,3,2019,pv_syst,30.33
3011,4,4,2019,pv_syst,36.99
3012,4,5,2019,pv_syst,43.08
3013,4,6,2019,pv_syst,46.24
3014,4,7,2019,pv_syst,47.17
3015,4,8,2019,pv_syst,41.01
3016,4,9,2019,pv_syst,31.05
3017,4,10,2019,pv_syst,23.25
3018,4,11,2019,pv_syst,12.27
3019,4,12,2019,pv_syst,10.2
3020,4,1,2019,pv_syst,10.7
3021,4,2,2019,pv_syst,14.8
3022,4,3,2019,pv_syst,24.32
3023,4,4,2019,pv_syst,29.68
3024,4,5,2019,pv_syst,34.58
3025,4,6,2019,pv_syst,37.13
3026,4,7,2019,pv_syst,37.89
3027,4,8,2019,pv_syst,32.93
3028,4,9,2019,pv_syst,24.92
3029,4,10,2019,pv_syst,18.65
3030,4,11,2019,pv_syst,9.83
3031,4,12,2019,pv_syst,8.16
3032,4,1,2019,pv_syst,7.68
3033,4,2,2019,pv_syst,10.67
3034,4,3,2019,pv_syst,17.48
3035,4,4,2019,pv_syst,20.98
3036,4,5,2019,pv_syst,24.46
3037,4,6,2019,pv_syst,26.16
3038,4,7,2019,pv_syst,26.51
3039,4,8,2019,pv_syst,23.18
3040,4,9,2019,pv_syst,17.63
3041,4,10,2019,pv_syst,13.36
3042,4,11,2019,pv_syst,7.02
3043,4,12,2019,pv_syst,5.83
