,portfolio,month,year,Source,Generation
3168,5,1,2019,pv_syst,15.9
3169,5,2,2019,pv_syst,33.12
3170,5,3,2019,pv_syst,48.5
3171,5,4,2019,pv_syst,58.82
3172,5,5,2019,pv_syst,66.58
3173,5,6,2019,pv_syst,70.48
3174,5,7,2019,pv_syst,72.38
3175,5,8,2019,pv_syst,65.27
3176,5,9,2019,pv_syst,54.01
3177,5,10,2019,pv_syst,40.24
3178,5,11,2019,pv_syst,23.21
3179,5,12,2019,pv_syst,17.68
3180,5,1,2019,pv_syst,14.64
3181,5,2,2019,pv_syst,31.42
3182,5,3,2019,pv_syst,45.33
3183,5,4,2019,pv_syst,54.39
3184,5,5,2019,pv_syst,60.71
3185,5,6,2019,pv_syst,62.92
3186,5,7,2019,pv_syst,65.46
3187,5,8,2019,pv_syst,59.82
3188,5,9,2019,pv_syst,50.39
3189,5,10,2019,pv_syst,37.98
3190,5,11,2019,pv_syst,21.79
3191,5,12,2019,pv_syst,16.45
3192,5,1,2019,pv_syst,13.03
3193,5,1,2019,pv_syst,34.56
3194,5,2,2019,pv_syst,18.68
3195,5,2,2019,pv_syst,46.56
3196,5,3,2019,pv_syst,27.72
3197,5,3,2019,pv_syst,61.67
3198,5,4,2019,pv_syst,33.86
3199,5,4,2019,pv_syst,69.62
3200,5,5,2019,pv_syst,39.36
3201,5,5,2019,pv_syst,81.59
3202,5,6,2019,pv_syst,39.71
3203,5,6,2019,pv_syst,86.12
3204,5,7,2019,pv_syst,40.65
3205,5,7,2019,pv_syst,87.69
3206,5,8,2019,pv_syst,37.1
3207,5,8,2019,pv_syst,77.08
3208,5,9,2019,pv_syst,30.58
3209,5,9,2019,pv_syst,64.07
3210,5,10,2019,pv_syst,22.46
3211,5,10,2019,pv_syst,45.96
3212,5,11,2019,pv_syst,13.88
3213,5,11,2019,pv_syst,26.97
3214,5,12,2019,pv_syst,10.93
3215,5,12,2019,pv_syst,25.84
