plant_id,portfolio,month,year,MW_gen,pv_syst,irradiance,pv_irradiance,weather_adj,,
1,1,11,2018,11.47,12.42,,,,,
1,1,12,2018,13.81,0,,,,,
2,1,1,2018,7.61,9.25,,,,,
2,1,2,2018,11.4,10.4,,,,,
2,1,3,2018,28.16,13.17,,,,,
2,1,4,2018,33.82,15.99,,,,,
2,1,5,2018,47.54,16.43,,,,,
2,1,6,2018,45.32,17.01,,,,,
2,1,7,2018,49.01,17.22,,,,,
2,1,8,2018,36.37,16.14,,,,,
2,1,9,2018,18.14,13.09,,,,,
2,1,10,2018,21.26,13.56,,,,,
2,1,11,2018,4.2,12.42,,,,,
2,1,12,2018,0,20,,,,,
3,1,1,2018,7.49,9.25,,,,,
3,1,2,2018,10.22,10.4,,,,,
3,1,3,2018,37.82,13.17,,,,,
3,1,4,2018,38.77,15.99,,,,,
3,1,5,2018,48.75,16.43,,,,,
3,1,6,2018,46.62,17.01,,,,,
3,1,7,2018,45.49,17.22,,,,,
3,1,8,2018,36.43,16.14,,,,,
3,1,9,2018,29.33,13.09,,,,,
3,1,10,2018,10.25,13.56,,,,,
3,1,11,2018,10.89,12.42,,,,,
3,1,12,2018,0,20,,,,,
4,1,1,2018,6.75,9.25,,,,,
4,1,2,2018,12.72,10.4,,,,,
4,1,3,2018,5.34,13.17,,,,,
4,1,4,2018,36.26,15.99,,,,,
4,1,5,2018,48.51,16.43,,,,,
4,1,6,2018,48.44,17.01,,,,,
4,1,7,2018,49.45,17.22,,,,,
4,1,8,2018,37.85,16.14,,,,,
4,1,9,2018,31.05,13.09,,,,,
4,1,10,2018,13.86,13.56,,,,,
4,1,11,2018,4.91,12.42,,,,,
4,1,12,2018,0,20,,,,,
5,1,1,2018,4.46,8.09,,,,,
5,1,2,2018,4.9,9.19,,,,,
5,1,3,2018,28.12,14.54,,,,,
5,1,4,2018,25.65,15.27,,,,,
5,1,5,2018,42.76,15.98,,,,,
5,1,6,2018,43.31,16.26,,,,,
5,1,7,2018,47.8,16.44,,,,,
5,1,8,2018,36.38,15.26,,,,,
5,1,9,2018,27.14,13.42,,,,,
5,1,10,2018,15.1,13.17,,,,,
5,1,11,2018,2.8,12.45,,,,,
5,1,12,2018,0.35,0,,,,,
6,1,1,2018,2.96,8.09,,,,,
6,1,2,2018,6.06,9.19,,,,,
6,1,3,2018,38.82,14.54,,,,,
6,1,4,2018,33.27,15.27,,,,,
6,1,5,2018,48.07,15.98,,,,,
6,1,6,2018,47.21,16.26,,,,,
6,1,7,2018,46.84,16.44,,,,,
6,1,8,2018,39.74,15.26,,,,,
6,1,9,2018,32.33,13.42,,,,,
6,1,10,2018,14.08,13.17,,,,,
6,1,11,2018,2.9,12.45,,,,,
6,1,12,2018,0,0,,,,,
7,1,1,2018,13.68,8.09,,,,,
7,1,2,2018,12.45,9.19,,,,,
7,1,3,2018,34.43,14.54,,,,,
7,1,4,2018,34.02,15.27,,,,,
7,1,5,2018,48.27,15.98,,,,,
7,1,6,2018,43.77,16.26,,,,,
7,1,7,2018,31.39,16.44,,,,,
7,1,8,2018,41.14,15.26,,,,,
7,1,9,2018,31.79,13.42,,,,,
7,1,10,2018,22.39,13.17,,,,,
7,1,11,2018,10.9,12.45,,,,,
7,1,12,2018,0,0,,,,,
8,1,1,2018,7.1,8.09,,,,,
8,1,2,2018,9.54,9.19,,,,,
8,1,3,2018,29.84,14.54,,,,,
8,1,4,2018,33.81,15.27,,,,,
8,1,5,2018,47.47,15.98,,,,,
8,1,6,2018,43.57,16.26,,,,,
8,1,7,2018,50.25,16.44,,,,,
8,1,8,2018,39.65,15.26,,,,,
8,1,9,2018,33.84,13.42,,,,,
8,1,10,2018,21.2,13.17,,,,,
8,1,11,2018,9.46,12.45,,,,,
