,portfolio,month,year,Source,Generation
1873,3,10,2019,weather_adj,14.01
1874,3,11,2019,weather_adj,5.47
1875,3,12,2019,weather_adj,4.914
2876,3,1,2019,pv_syst,
2877,3,2,2019,pv_syst,
2878,3,3,2019,pv_syst,
2879,3,4,2019,pv_syst,
2880,3,5,2019,pv_syst,
2881,3,6,2019,pv_syst,
2882,3,7,2019,pv_syst,
2883,3,8,2019,pv_syst,
2884,3,9,2019,pv_syst,
2885,3,10,2019,pv_syst,
2886,3,11,2019,pv_syst,
2887,3,12,2019,pv_syst,
2888,3,1,2019,pv_syst,4.02
2889,3,2,2019,pv_syst,6.29
2890,3,3,2019,pv_syst,7.93
2891,3,4,2019,pv_syst,12.76
2892,3,5,2019,pv_syst,13.98
2893,3,6,2019,pv_syst,13.78
2894,3,7,2019,pv_syst,15.39
2895,3,8,2019,pv_syst,13.9
2896,3,9,2019,pv_syst,9.57
2897,3,10,2019,pv_syst,7.92
2898,3,11,2019,pv_syst,4.48
2899,3,12,2019,pv_syst,3.16
2900,3,1,2019,pv_syst,4.13
2901,3,2,2019,pv_syst,9.93
2902,3,3,2019,pv_syst,24.13
2903,3,4,2019,pv_syst,35.04
2904,3,5,2019,pv_syst,40.79
2905,3,6,2019,pv_syst,44.35
2906,3,7,2019,pv_syst,45.62
2907,3,8,2019,pv_syst,38.81
2908,3,9,2019,pv_syst,27.81
2909,3,10,2019,pv_syst,19.62
2910,3,11,2019,pv_syst,9.64
2911,3,12,2019,pv_syst,5.27
2912,3,1,2019,pv_syst,13.62
2913,3,2,2019,pv_syst,18.47
2914,3,3,2019,pv_syst,32.08
2915,3,4,2019,pv_syst,43.52
2916,3,5,2019,pv_syst,50.73
2917,3,6,2019,pv_syst,51.42
2918,3,7,2019,pv_syst,54.18
2919,3,8,2019,pv_syst,46.63
2920,3,9,2019,pv_syst,37.84
2921,3,10,2019,pv_syst,28.25
2922,3,11,2019,pv_syst,16.62
2923,3,12,2019,pv_syst,11.34
2924,3,1,2019,pv_syst,12.99
2925,3,2,2019,pv_syst,17.95
2926,3,3,2019,pv_syst,30.33
2927,3,4,2019,pv_syst,39.55
2928,3,5,2019,pv_syst,45.43
2929,3,6,2019,pv_syst,45.24
2930,3,7,2019,pv_syst,48.56
2931,3,8,2019,pv_syst,42.41
2932,3,9,2019,pv_syst,35.5
2933,3,10,2019,pv_syst,26.63
2934,3,11,2019,pv_syst,16.55
2935,3,12,2019,pv_syst,11.53
2936,3,1,2019,pv_syst,8.13
2937,3,2,2019,pv_syst,10.03
2938,3,3,2019,pv_syst,17.57
2939,3,4,2019,pv_syst,26.15
2940,3,5,2019,pv_syst,30.42
2941,3,6,2019,pv_syst,28.13
2942,3,7,2019,pv_syst,32.73
2943,3,8,2019,pv_syst,28.09
2944,3,9,2019,pv_syst,20.48
2945,3,10,2019,pv_syst,16.93
2946,3,11,2019,pv_syst,9.81
2947,3,12,2019,pv_syst,5.62
